ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
1.24514E+18,A glass of wine keeps the corona away- DRAKE. No se diga ms cheers to that,1,0,0,0,0,0,0,0,0,1
1.24514E+18,Can Anyone tell me if you took the flu shot last year will it give you a positive result for Coronavirus even if you dont have it???,0,0,0,0,1,0,0,0,0,0
1.24514E+18,Btw producers send me beats Im working on music and smoke loud as we speak to get thru coronavirus pandemic,1,0,0,0,0,0,0,0,0,1
1.24514E+18,When someone you know.. apart of your family dies from the Coronavirus its shocking unexplainable. My whole day has been down.,0,0,0,0,0,1,0,0,0,0
1.24514E+18,"Dear soccer, I really miss you ,please come back already :( Also dear corona , Frick u for ruining everything",0,0,0,0,0,1,1,0,0,0
1.24514E+18,new home remedy to treat coronavirus! tested by leading officials at the white house,1,0,0,0,0,0,0,1,0,1
1.24514E+18,"When Xavier Wulf does an Attack on Titan tape like he did Project X for Initial D, the coronavirus will officially disappear",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Mouthwash is hand san for your mouth and I don't know how to feel about it ShowerThoughts StayAtHome coronavirus,0,0,0,0,0,1,0,0,0,1
1.24514E+18,Yes all of them ! n France 1.000 Christians took the Coronavirus from a Sunday Church meeting !,0,0,0,0,0,0,1,0,1,0
1.24514E+18,Update I destroyed the tire honestly if I get corona virus because of what just happened I deserved it,0,0,0,1,0,1,0,0,0,0
1.24514E+18,This feels like one big Stanford Prison Experiment. Ugh! quarantined corona,0,0,0,0,0,1,1,0,0,0
1.24514E+18,My uncle paranoid about corona virus but still goes to work ....... pick one,0,0,0,0,0,0,1,0,0,1
1.24514E+18,"Lol.....happy new month bro,quickly sending me something before coronavirus wipe April fool finally 0124152280 gtbank",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Someone should now come and tell us all this Coronavirus shit is just to have the best AprilFoolsDay .It would be a good news tho,1,0,0,0,0,0,1,0,0,0
1.24514E+18,This corona virus is turning me into a millennial. Im staying at home. Not working. Complaining about everything.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,If you ever stayed at the Pocono palace in champagne tower suite youre immune to corona,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Everything is bigger and CRAZIER IN texas. Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA,0,0,0,0,0,0,1,0,0,0
1.24514E+18,i cant stop watching videos of cardi b saying coronavirus,0,0,0,0,0,0,0,0,0,1
1.24514E+18,"20 years from now* Hey mom, during 2020 how did you survive the corona virus?",1,0,0,1,0,1,0,0,0,0
1.24514E+18,Are you saying they are both equivalents? Or even approximates? Talk about fake news! coronavirus UKlockdown,0,0,0,0,1,0,1,1,0,0
1.24514E+18,"Well, a red scarf on a doorknob HAS technically prevented coronavirus for a few people already just saying",0,0,0,0,0,0,0,0,0,1
1.24514E+18,If corona get weh a Bermuda the realest way nobody nah lef ova deh,1,0,0,0,1,0,0,0,0,1
1.24514E+18,"Female-founded companies, as a result, have less cash on hand to carry them through any kind of unexpected event, like COVID19.",0,0,0,1,1,1,0,0,0,1
1.24514E+18,"All that Twerk Air has transformed into the Corona Virus and yall still twerking, my Lord!!",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Calling Corona Virus rona like she the nastiest little girl in the 5th grade.,0,0,0,0,0,0,0,0,0,1
1.24514E+18,if i get curved ima go somewhere packed to give myself coronavirus.,0,0,0,1,0,0,0,0,0,1
1.24514E+18,So....us preorder people get to beta test soon? Would be a nice little coronavirus stuck at home time for it,0,0,0,0,0,1,0,0,0,1
1.24514E+18,plan is to cull all the social security and medicare recipients to allow for more tax cuts. Thanks Covid_19,0,1,0,0,0,0,1,1,0,0
1.24514E+18,Did you see that thing about sending a stool sample to Nancy to see if we have corona(corn in it optional),0,0,0,0,0,0,0,0,0,1
1.24514E+18,"Thus, to ur point, a true count of coronavirus deaths is unlikely",0,0,0,1,0,1,0,0,0,0
1.24514E+18,"Yes. Want to get narrative out of corona, rightists, never do any right.",0,0,0,0,0,1,1,0,0,0
1.24514E+18,Dont see this tosser doing it outside considering Coronavirus doesnt effect him.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,"Coronavirus live updates: Death toll soars past 41,400 with more than 846,000 people infected around the world",0,0,0,0,0,0,0,0,1,0
1.24514E+18,I wouldn't be surprised Alabama ends up with the fewest confirmed cases of the Corona Virus.,1,0,0,0,0,0,0,0,0,0
1.24514E+18,Soon as this corona shit is over imma hit the skatepark with my dad ASAP,1,0,0,0,0,0,0,0,0,0
1.24514E+18,March: a month that introduced Corona virus to the world.. Anychild born on that month should named after Corona .. Just saying,0,0,0,0,0,0,0,0,0,1
1.24514E+18,We will beat this fucking virus F U Covid_19 K,1,0,0,0,0,0,1,0,0,0
1.24514E+18,if corona fucked your sleep schedule up even more than it already was clap your hands,0,0,0,0,0,0,1,0,0,1
1.24514E+18,"the world wants to know why you've thrown florida under the bus, what is your goal? covid19",0,0,0,0,0,0,1,0,0,0
1.24514E+18,The JMEA offers condolences to the family of the covid19 patient who died this afternoon.,0,0,1,0,0,1,0,0,1,0
1.24514E+18,Nothing worse than falling for a guy during corona.... cant even hug him bc social distancing,0,0,0,0,0,1,0,0,0,0
1.24514E+18,cant wait for the government to tell us corona virus was fake for Aprils fool tomorrow,0,0,0,0,0,0,0,0,0,1
1.24514E+18,"Imagine 1pant of garri done enter 1300 because of Corona virus,Aside the disease kill us,we still day kill our self",0,0,0,1,0,1,0,0,0,0
1.24514E+18,"I just need to know my favs , and are safe from the coronavirus",1,0,1,0,0,0,0,0,0,1
1.24514E+18,just saw the first i have corona april fools joke maybe ill just abstain from social media for today :)),0,0,0,0,0,1,1,0,0,1
1.24514E+18,"Florida man forgets to check his junk mail folder, misses message saying Coronavirus is not a hoax",0,0,0,0,0,0,1,0,0,1
1.24514E+18,Why dont you just take care of the Americans who have covid19 and finding the cure,0,0,0,0,0,0,1,0,0,0
1.24514E+18,Can we please cancel the year 2020 and get a new year??? This year is defective! COVID19 coronavirus,0,0,0,0,0,0,1,0,0,1
1.24514E+18,Cunthole genius more like it...happy corona day to you and your family...,0,0,0,0,0,0,0,0,0,1
1.24514E+18,So heart breaking any way you see it Prayers to all the families affected by the COVID19.,0,0,1,0,0,1,0,0,0,0
1.24514E+18,is coronavirus still spread through money? i sleep better at night knowing my ex wont get it,0,0,1,0,1,0,0,0,0,1
1.24514E+18,Reinfection due to New Varients in short time is most likely explanation of danger by Covid19 COVID19 COVID19,0,0,0,0,1,0,0,0,1,0
1.24514E+18,COVID19 in my town. health rehab center tests positive. Just a matter of time before it came here.,0,0,0,1,1,0,0,0,0,0
1.24514E+18,tryna have them titying some more but corona wont let us,0,0,0,0,0,1,1,0,0,0
1.24514E+18,Police scared of the corona too....Ive barley seen them since this mess started. You good,0,0,0,0,1,0,0,0,0,0
